respondent_id,region,age_band,true_choice,reported_choice,epsilon,k,scenario
1,Midlands,55-64,2,2,1.0,5,no_bias
2,Scotland,18-24,0,0,1.0,5,no_bias
3,Scotland,55-64,3,4,1.0,5,no_bias
4,Wales,35-44,1,1,1.0,5,no_bias
5,South East,25-34,2,4,1.0,5,no_bias
6,London,65+,0,0,1.0,5,no_bias
7,South East,65+,4,4,1.0,5,no_bias
8,Scotland,55-64,1,1,1.0,5,no_bias
9,Wales,35-44,0,0,1.0,5,no_bias
10,London,35-44,4,4,1.0,5,no_bias
11,London,35-44,4,3,1.0,5,no_bias
12,South East,45-54,0,0,1.0,5,no_bias
13,North West,65+,2,0,1.0,5,no_bias
14,Scotland,65+,3,2,1.0,5,no_bias
15,London,18-24,1,1,1.0,5,no_bias
16,London,45-54,1,0,1.0,5,no_bias
17,South East,45-54,0,0,1.0,5,no_bias
18,Scotland,55-64,3,2,1.0,5,no_bias
19,Midlands,35-44,4,1,1.0,5,no_bias
20,North West,18-24,4,4,1.0,5,no_bias
21,North West,45-54,1,1,1.0,5,no_bias
22,South East,45-54,4,2,1.0,5,no_bias
23,South East,65+,2,2,1.0,5,no_bias
24,South East,45-54,2,0,1.0,5,no_bias
25,Midlands,55-64,3,1,1.0,5,no_bias
26,South East,65+,3,0,1.0,5,no_bias
27,Midlands,18-24,4,4,1.0,5,no_bias
28,London,65+,4,1,1.0,5,no_bias
29,South East,25-34,4,1,1.0,5,no_bias
30,Midlands,18-24,3,3,1.0,5,no_bias
31,Scotland,65+,0,2,1.0,5,no_bias
32,Wales,55-64,4,4,1.0,5,no_bias
33,North West,35-44,4,0,1.0,5,no_bias
34,Midlands,45-54,1,4,1.0,5,no_bias
35,London,45-54,3,3,1.0,5,no_bias
36,Wales,35-44,3,0,1.0,5,no_bias
37,London,18-24,4,3,1.0,5,no_bias
38,Scotland,25-34,1,1,1.0,5,no_bias
39,North West,35-44,1,1,1.0,5,no_bias
40,London,65+,4,2,1.0,5,no_bias
41,Midlands,45-54,3,0,1.0,5,no_bias
42,Midlands,45-54,4,4,1.0,5,no_bias
43,North West,65+,4,4,1.0,5,no_bias
44,South East,45-54,4,3,1.0,5,no_bias
45,Scotland,25-34,0,4,1.0,5,no_bias
46,London,45-54,1,4,1.0,5,no_bias
47,South East,55-64,1,1,1.0,5,no_bias
48,London,35-44,4,3,1.0,5,no_bias
49,South East,35-44,3,0,1.0,5,no_bias
50,North West,65+,1,0,1.0,5,no_bias
51,London,25-34,4,4,1.0,5,no_bias
52,Midlands,45-54,1,0,1.0,5,no_bias
53,Wales,18-24,4,0,1.0,5,no_bias
