respondent_id,region,age_band,true_choice,stated_choice,reported_choice,epsilon,k,scenario,shy_category,honesty
1,Midlands,55-64,2,2,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
2,Scotland,18-24,0,0,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
3,Scotland,55-64,3,3,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
4,Wales,35-44,1,1,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
5,South East,25-34,2,2,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
6,London,65+,0,0,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
7,North West,55-64,4,4,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
8,South East,25-34,4,4,3,0.5,5,shy_privacy_helps,0,0.6990694189657792
9,London,35-44,0,0,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
10,North West,45-54,0,0,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
11,Wales,45-54,1,1,3,0.5,5,shy_privacy_helps,0,0.6990694189657792
12,London,55-64,4,4,3,0.5,5,shy_privacy_helps,0,0.6990694189657792
13,Midlands,25-34,4,4,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
14,Midlands,45-54,0,0,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
15,London,65+,1,1,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
16,London,65+,1,1,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
17,London,35-44,4,4,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
18,North West,35-44,4,4,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
19,Scotland,65+,4,4,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
20,North West,35-44,4,4,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
21,Midlands,25-34,3,3,3,0.5,5,shy_privacy_helps,0,0.6990694189657792
22,Scotland,55-64,1,1,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
23,Midlands,25-34,3,3,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
24,Midlands,55-64,3,3,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
25,Midlands,25-34,3,3,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
26,Midlands,55-64,3,3,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
27,North West,65+,1,1,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
28,North West,45-54,1,1,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
29,Wales,25-34,1,1,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
30,South East,55-64,4,4,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
31,London,25-34,4,4,2,0.5,5,shy_privacy_helps,0,0.6990694189657792
32,Wales,18-24,3,3,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
33,Midlands,65+,4,4,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
34,London,35-44,0,0,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
35,North West,35-44,4,4,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
36,Midlands,45-54,0,0,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
37,Scotland,25-34,4,4,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
38,South East,55-64,3,3,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
39,London,55-64,1,1,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
40,North West,45-54,1,1,1,0.5,5,shy_privacy_helps,0,0.6990694189657792
41,Midlands,65+,4,4,0,0.5,5,shy_privacy_helps,0,0.6990694189657792
42,Wales,25-34,4,4,4,0.5,5,shy_privacy_helps,0,0.6990694189657792
