config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,sparse_minority_curve,1.0,120,baseline_rr_debias,20,0,0,0.009335698900031275,0.026087629494725227,0.1867139780006255
123,sparse_minority_curve,1.0,120,mrp_rr_poststrat,20,0,0,0.009191783900064365,0.02433008923189859,0.1838356780012873
123,sparse_minority_curve,1.0,120,hierarchical_rr_mrp_poststrat,20,0,0,0.02158769865004615,0.0337655485380417,0.431753973000923
123,sparse_minority_curve,1.0,120,neural_rr_mrp,20,0,0,0.8058425498500356,3.3884872845350142,16.11685099700071
123,privacy_noise_sparse,1.0,120,baseline_rr_debias,20,0,0,0.0008215867500211971,0.00013706308682912024,0.01643173500042394
123,privacy_noise_sparse,1.0,120,mrp_rr_poststrat,20,0,0,0.0013152175999039174,0.0001424182755609091,0.026304351998078346
123,privacy_noise_sparse,1.0,120,hierarchical_rr_mrp_poststrat,20,0,0,0.02034678459999668,0.031426999627323135,0.4069356919999336
123,privacy_noise_sparse,1.0,120,neural_rr_mrp,20,0,0,0.026384650449904255,0.032532699242529335,0.5276930089980851
123,privacy_helps,1.0,120,baseline_rr_debias,20,0,0,0.0008039162500153907,0.00018611979246686955,0.016078325000307814
123,privacy_helps,1.0,120,mrp_rr_poststrat,20,0,0,0.004817155999944589,0.015217973180614753,0.09634311999889178
123,privacy_helps,1.0,120,hierarchical_rr_mrp_poststrat,20,0,0,0.005162994149895894,0.010729726851690189,0.10325988299791788
123,privacy_helps,1.0,120,neural_rr_mrp,20,0,0,0.02148038015000111,0.027782696371977313,0.4296076030000222
