config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,sparse_minority_curve,0.5,80,baseline_rr_debias,2,0,0,0.0007802774999845496,2.3536049031386376e-05,0.0015605549999690993
123,sparse_minority_curve,0.5,80,mrp_rr_poststrat,2,0,0,0.002040016999899308,0.0006920383356871193,0.004080033999798616
123,sparse_minority_curve,0.5,80,hierarchical_rr_mrp_poststrat,2,0,0,0.0036121080000839356,0.00029826188299939764,0.007224216000167871
123,sparse_minority_curve,1.0,80,baseline_rr_debias,2,0,0,0.0007117235001032896,3.470833635493722e-05,0.001423447000206579
123,sparse_minority_curve,1.0,80,mrp_rr_poststrat,2,0,0,0.03964960699988751,0.0537935570864668,0.07929921399977502
123,sparse_minority_curve,1.0,80,hierarchical_rr_mrp_poststrat,2,0,0,0.0031486435000260826,2.3611002361418113e-05,0.006297287000052165
123,privacy_noise_sparse,0.5,80,baseline_rr_debias,2,0,0,0.0006944120001435294,8.925243217921149e-05,0.0013888240002870589
123,privacy_noise_sparse,0.5,80,mrp_rr_poststrat,2,0,0,0.038924298500091936,0.05300115413552158,0.07784859700018387
123,privacy_noise_sparse,0.5,80,hierarchical_rr_mrp_poststrat,2,0,0,0.0038523245001442774,0.0003751010555548814,0.007704649000288555
123,privacy_noise_sparse,1.0,80,baseline_rr_debias,2,0,0,0.0006930240000428967,5.319705734239024e-05,0.0013860480000857933
123,privacy_noise_sparse,1.0,80,mrp_rr_poststrat,2,0,0,0.0014301069999191895,4.6567224176151454e-05,0.002860213999838379
123,privacy_noise_sparse,1.0,80,hierarchical_rr_mrp_poststrat,2,0,0,0.03938611050000418,0.05111046232571616,0.07877222100000836
