respondent_id,region,age_band,true_choice,reported_choice,epsilon,k,scenario
1,Midlands,55-64,4,3,1.0,5,nonresponse
2,South East,25-34,2,0,1.0,5,nonresponse
3,London,65+,1,1,1.0,5,nonresponse
4,London,35-44,4,3,1.0,5,nonresponse
5,South East,45-54,3,4,1.0,5,nonresponse
6,Midlands,45-54,1,1,1.0,5,nonresponse
7,London,45-54,1,1,1.0,5,nonresponse
8,North West,35-44,4,0,1.0,5,nonresponse
9,North West,45-54,1,1,1.0,5,nonresponse
10,Scotland,55-64,1,3,1.0,5,nonresponse
11,South East,45-54,1,4,1.0,5,nonresponse
12,Midlands,25-34,4,0,1.0,5,nonresponse
13,Midlands,18-24,4,4,1.0,5,nonresponse
14,Midlands,65+,1,1,1.0,5,nonresponse
15,Wales,35-44,0,0,1.0,5,nonresponse
16,South East,55-64,1,0,1.0,5,nonresponse
17,Midlands,45-54,3,3,1.0,5,nonresponse
18,Scotland,65+,4,1,1.0,5,nonresponse
19,Scotland,25-34,0,0,1.0,5,nonresponse
20,South East,18-24,1,1,1.0,5,nonresponse
21,London,35-44,1,0,1.0,5,nonresponse
22,South East,55-64,4,0,1.0,5,nonresponse
23,Midlands,45-54,4,4,1.0,5,nonresponse
24,North West,55-64,1,1,1.0,5,nonresponse
25,London,35-44,4,4,1.0,5,nonresponse
26,London,35-44,4,4,1.0,5,nonresponse
27,North West,55-64,1,3,1.0,5,nonresponse
28,South East,55-64,3,3,1.0,5,nonresponse
29,South East,35-44,4,4,1.0,5,nonresponse
30,North West,55-64,1,3,1.0,5,nonresponse
31,London,45-54,1,1,1.0,5,nonresponse
32,North West,65+,2,2,1.0,5,nonresponse
33,South East,55-64,1,1,1.0,5,nonresponse
34,North West,35-44,1,3,1.0,5,nonresponse
35,Wales,35-44,0,1,1.0,5,nonresponse
36,South East,55-64,4,4,1.0,5,nonresponse
37,South East,55-64,1,1,1.0,5,nonresponse
38,Wales,18-24,0,1,1.0,5,nonresponse
39,Midlands,25-34,4,4,1.0,5,nonresponse
40,South East,55-64,1,2,1.0,5,nonresponse
41,North West,35-44,4,4,1.0,5,nonresponse
42,North West,45-54,0,1,1.0,5,nonresponse
43,Scotland,45-54,4,4,1.0,5,nonresponse
44,Scotland,35-44,4,4,1.0,5,nonresponse
45,Midlands,65+,2,1,1.0,5,nonresponse
46,North West,65+,4,2,1.0,5,nonresponse
47,North West,65+,4,2,1.0,5,nonresponse
48,North West,35-44,4,3,1.0,5,nonresponse
49,London,65+,4,3,1.0,5,nonresponse
50,Midlands,35-44,4,3,1.0,5,nonresponse
51,North West,35-44,4,4,1.0,5,nonresponse
52,South East,55-64,4,3,1.0,5,nonresponse
53,South East,35-44,4,4,1.0,5,nonresponse
54,North West,35-44,4,3,1.0,5,nonresponse
55,North West,45-54,1,1,1.0,5,nonresponse
56,Scotland,45-54,4,3,1.0,5,nonresponse
57,South East,65+,2,2,1.0,5,nonresponse
58,Wales,55-64,3,3,1.0,5,nonresponse
59,London,55-64,1,4,1.0,5,nonresponse
60,Midlands,18-24,3,3,1.0,5,nonresponse
61,Midlands,45-54,4,4,1.0,5,nonresponse
62,Midlands,25-34,4,0,1.0,5,nonresponse
63,South East,65+,3,3,1.0,5,nonresponse
64,North West,45-54,1,1,1.0,5,nonresponse
65,North West,18-24,4,1,1.0,5,nonresponse
66,North West,25-34,1,2,1.0,5,nonresponse
67,Midlands,18-24,4,4,1.0,5,nonresponse
68,North West,45-54,4,3,1.0,5,nonresponse
69,Scotland,55-64,4,4,1.0,5,nonresponse
70,North West,25-34,1,1,1.0,5,nonresponse
71,Midlands,45-54,4,4,1.0,5,nonresponse
72,North West,55-64,0,2,1.0,5,nonresponse
73,Wales,25-34,1,0,1.0,5,nonresponse
74,North West,45-54,2,3,1.0,5,nonresponse
75,North West,55-64,1,0,1.0,5,nonresponse
