epsilon,n_respondents,seed,bias,demographic_imbalance,fallback_cells,cell_proportion_min,cell_proportion_max,cell_proportion_std,raw_frequencies_l1,rr_debiased_l1,poststratified_l1
0.25,250,1000,none,0.12000000000000001,0,0.08,0.22,0.0433076847170979,0.2,0.9111118274500958,1.0145821714332772
0.25,250,1001,none,0.19599999999999995,0,0.108,0.256,0.05354956167472854,0.26500000000000007,0.8037424229920753,0.8795570670672107
0.25,250,1002,none,0.11999999999999995,0,0.112,0.224,0.04482063017059096,0.2890000000000001,0.6116638930160377,0.6135213279743165
0.25,250,1003,none,0.08800000000000004,0,0.108,0.216,0.03271425105702746,0.2730000000000001,0.38916545319451634,0.3064217806110229
0.25,250,1004,none,0.188,0,0.1,0.228,0.050894225823979504,0.29700000000000004,0.35333298662700485,0.6129050719033344
0.25,250,1005,none,0.048000000000000015,0,0.1,0.216,0.03707050339855425,0.24100000000000005,0.3133309063890326,0.2822485097883519
0.25,250,1006,none,0.09599999999999999,0,0.112,0.204,0.02815828277592383,0.329,0.7591633729565449,0.8331847474147452
0.25,250,1007,none,0.09599999999999999,0,0.08,0.208,0.043122564343456606,0.20900000000000007,0.3749999999999999,0.375
0.25,250,1008,none,0.12399999999999997,0,0.128,0.216,0.03263263533472111,0.313,0.5383319465080183,0.44077716408384565
0.25,250,1009,none,0.08399999999999999,0,0.12,0.204,0.032795663669996915,0.313,0.5383319465080183,0.4798588413292062
0.25,250,1010,none,0.11599999999999998,0,0.096,0.22,0.04730985333122712,0.4010000000000001,0.9827488373302087,1.164665072300572
0.25,250,1011,none,0.08399999999999999,0,0.092,0.216,0.042562372532032974,0.2810000000000001,0.704163372956545,0.6790876929291622
0.25,250,1012,none,0.08799999999999995,0,0.096,0.232,0.05115553624866901,0.3050000000000001,0.5741644130755306,0.49592915945567856
0.25,250,1013,none,0.05600000000000001,0,0.104,0.216,0.03522625283632775,0.20900000000000002,0.523668266675916,0.5077416506480916
0.25,250,1014,none,0.14400000000000002,0,0.104,0.192,0.030169889330626025,0.2810000000000001,0.5191644130755305,0.5791120507627268
0.25,250,1015,none,0.05199999999999996,0,0.1,0.216,0.03957552554574888,0.20900000000000002,0.9803531540783139,0.9694495839609616
0.25,250,1016,none,0.019999999999999962,0,0.1,0.204,0.038482319172431494,0.20900000000000002,0.523668266675916,0.5018305956389425
0.25,250,1017,none,0.15199999999999997,0,0.112,0.26,0.05521674464226308,0.24900000000000005,0.7758283060915684,0.6395550801805323
0.25,250,1018,none,0.05600000000000002,0,0.096,0.204,0.035074523834575745,0.32100000000000006,0.8400000000000001,0.84
0.25,250,1019,none,0.06,0,0.1,0.216,0.03889587238883953,0.2730000000000001,0.7849999999999999,0.7850000000000001
0.25,250,1020,none,0.136,0,0.116,0.252,0.046341725858620716,0.2810000000000001,0.29666597325400923,0.39703123936931145
0.25,250,1021,none,0.09999999999999999,0,0.092,0.228,0.051622561820282506,0.24100000000000005,0.7208283060915683,0.8243901058836354
0.25,250,1022,none,0.12400000000000001,0,0.112,0.24,0.04318435930853772,0.20100000000000007,0.37499999999999994,0.37499999999999994
0.25,250,1023,none,0.07999999999999999,0,0.096,0.228,0.048643830258545864,0.1690000000000001,0.49615898728748026,0.45930867217872506
0.25,250,1024,none,0.09999999999999995,0,0.096,0.216,0.04129030017920539,0.26500000000000007,0.22083142644852544,0.2244265534898616
0.25,250,1025,none,0.16399999999999995,0,0.096,0.24,0.05289822513300633,0.30500000000000005,0.4816649331350236,0.5147174248698774
0.25,250,1026,none,0.128,0,0.108,0.22,0.032795663669996915,0.32900000000000007,0.7849999999999999,0.785
0.25,250,1027,none,0.10799999999999994,0,0.096,0.216,0.04962078417580905,0.38500000000000006,1.3607056262766577,1.470639330525226
0.25,250,1028,none,0.09600000000000002,0,0.084,0.208,0.04050788674923549,0.2810000000000001,0.24166597325400918,0.2675833919665641
0.25,250,1029,none,0.12399999999999999,0,0.116,0.22,0.034998412662417835,0.23300000000000004,0.9507056262766577,1.0985505094427461
0.25,250,1000,moderate,0.332,0,0.132,0.248,0.041354833118055524,0.24900000000000005,0.49832986627004694,0.6380927152603888
0.25,250,1001,moderate,0.38800000000000007,0,0.112,0.276,0.052696194254318686,0.24900000000000005,0.7758283060915684,0.5788237718782934
0.25,250,1002,moderate,0.38800000000000007,0,0.112,0.26,0.04770278351999551,0.2970000000000001,0.7850000000000001,0.7849999999999999
0.25,250,1003,moderate,0.436,0,0.104,0.264,0.062253960159620016,0.31300000000000006,0.8400000000000001,0.9119418101311781
0.25,250,1004,moderate,0.36400000000000005,0,0.104,0.264,0.05631656555184767,0.2330000000000001,0.37499999999999983,0.4587096910420474
0.25,250,1005,moderate,0.3880000000000001,0,0.104,0.232,0.0429987079909256,0.26500000000000007,0.6283288261510612,0.7131568683333643
0.25,250,1006,moderate,0.41200000000000003,0,0.088,0.268,0.059179576056459064,0.32900000000000007,0.84,0.20643352534550014
0.25,250,1007,moderate,0.45599999999999996,0,0.1,0.224,0.048424052792893,0.15300000000000008,0.40398930190516646,0.4764785899714638
0.25,250,1008,moderate,0.4200000000000001,0,0.108,0.26,0.051931578917734526,0.23300000000000004,1.2149999999999999,1.0217022017252435
0.25,250,1009,moderate,0.396,0,0.1,0.284,0.061434698845377445,0.24900000000000005,0.6833288261510612,0.33295639756298295
0.25,250,1010,moderate,0.308,0,0.124,0.26,0.05015531433014407,0.26500000000000007,0.07333194650801822,0.27855613397108125
0.25,250,1011,moderate,0.42400000000000004,0,0.092,0.26,0.06020705015933673,0.20900000000000002,0.6852986074207681,1.1582581630673154
0.25,250,1012,moderate,0.40399999999999997,0,0.104,0.248,0.05254416132063475,0.1690000000000001,0.37499999999999994,0.39819362939143027
0.25,250,1013,moderate,0.3760000000000001,0,0.076,0.24,0.05031456603763522,0.329,0.7233309063890327,0.6732824586163847
0.25,250,1014,moderate,0.34800000000000003,0,0.12,0.28,0.056505653601112246,0.22500000000000003,0.4677216759746718,0.4069480986754321
0.25,250,1015,moderate,0.432,0,0.124,0.236,0.043060680698547044,0.2970000000000001,0.5191644130755305,0.7314064898692221
0.25,250,1016,moderate,0.35600000000000004,0,0.076,0.268,0.058225614829061474,0.2250000000000001,0.3749999999999999,0.09834701513531094
0.25,250,1017,moderate,0.492,0,0.088,0.308,0.07198765326236314,0.26500000000000007,0.4983298662700469,0.411560477013682
0.25,250,1018,moderate,0.36800000000000005,0,0.092,0.26,0.052544161320634754,0.2730000000000001,0.5741644130755307,0.599923997648545
0.25,250,1019,moderate,0.34800000000000003,0,0.112,0.288,0.05790413533495589,0.329,0.7233309063890327,0.33285478706334776
0.25,250,1020,moderate,0.388,0,0.076,0.244,0.05259488779550939,0.27999999999999997,1.2149999999999999,1.2149999999999999
0.25,250,1021,moderate,0.31600000000000006,0,0.108,0.228,0.04440220214759124,0.29700000000000004,0.7849999999999999,0.7849999999999999
0.25,250,1022,moderate,0.392,0,0.076,0.24,0.05177730090386026,0.2250000000000001,0.3749999999999999,0.3910952799132929
0.25,250,1023,moderate,0.392,0,0.1,0.256,0.060383956662529346,0.31300000000000006,0.7849999999999999,0.8422086179947332
0.25,250,1024,moderate,0.37600000000000006,0,0.076,0.248,0.053199832915360006,0.35300000000000004,0.9928528131383286,0.7849999999999999
0.25,250,1025,moderate,0.26,0,0.14,0.216,0.02834705550062573,0.337,0.8400000000000001,0.8211080134515814
0.25,250,1026,moderate,0.4160000000000001,0,0.1,0.22,0.04050788674923549,0.2730000000000001,0.8400000000000001,0.8323981300820821
0.25,250,1027,moderate,0.31200000000000006,0,0.116,0.22,0.039710060298227816,0.31300000000000006,0.8400000000000001,0.8399999999999999
0.25,250,1028,moderate,0.332,0,0.112,0.24,0.045352936937853194,0.32100000000000006,0.7850000000000001,0.7849999999999998
0.25,250,1029,moderate,0.404,0,0.104,0.232,0.04787019485604332,0.313,0.5383319465080183,0.6278436348772934
0.25,250,1000,strong,0.78,0,0.036,0.348,0.1161990629145615,0.21700000000000003,0.6653093529596628,1.0129945229835262
0.25,250,1001,strong,0.7480000000000001,0,0.044,0.396,0.12114270739733184,0.28,0.8470971177812716,0.84
0.25,250,1002,strong,0.8680000000000001,0,0.032,0.42,0.13659998373190077,0.21700000000000003,0.9729640294394946,0.6999047195321001
0.25,250,1003,strong,0.684,0,0.036,0.34,0.10649986958781792,0.25700000000000006,0.9729640294394947,1.2149999999999999
0.25,250,1004,strong,0.7480000000000001,0,0.048,0.404,0.11880890351970914,0.23300000000000004,0.5278528131383285,0.8479197642608918
0.25,250,1005,strong,0.788,0,0.032,0.372,0.12247811595909242,0.2250000000000001,0.3749999999999999,0.8068238111663084
0.25,250,1006,strong,0.844,0,0.028,0.42,0.13325997982223403,0.26400000000000007,1.1373037253450202,0.8400000000000001
0.25,250,1007,strong,0.8200000000000001,0,0.048,0.404,0.1271779156230445,0.32100000000000006,0.7849999999999999,0.6348576576992682
0.25,250,1008,strong,0.684,0,0.036,0.336,0.10220676211592962,0.19300000000000006,0.37500000000000006,0.47476638665156956
0.25,250,1009,strong,0.684,0,0.048,0.328,0.10498677165349082,0.281,0.16833402674599052,0.8466363393492309
0.25,250,1010,strong,0.8280000000000001,0,0.032,0.348,0.12351877949886361,0.4010000000000001,0.939982169841944,1.625
0.25,250,1011,strong,0.8600000000000001,0,0.04,0.424,0.13585613305585026,0.20800000000000007,0.9803531540783139,0.4487891150800331
0.25,250,1012,strong,0.908,0,0.032,0.424,0.14063980786233873,0.09700000000000003,0.375,0.624355413087896
0.25,250,1013,strong,0.884,0,0.032,0.364,0.13171011941212246,0.329,0.7591633729565449,0.8400000000000001
0.25,250,1014,strong,0.804,0,0.04,0.36,0.11956959851437525,0.24100000000000005,0.7208283060915683,1.16
0.25,250,1015,strong,0.8360000000000001,0,0.04,0.384,0.12931958689833323,0.36900000000000005,0.9357058100041108,0.4772111962431056
