epsilon,n_respondents,bias,seed,method,l1_error,max_abs_error
0.25,250,none,1000,raw_frequencies,0.2,0.10000000000000003
0.25,250,none,1000,rr_debiased,0.9111118274500958,0.45555591372504795
0.25,250,none,1000,poststratified,1.0145821714332772,0.5072910857166386
0.25,250,none,1001,raw_frequencies,0.26500000000000007,0.1325
0.25,250,none,1001,rr_debiased,0.8037424229920753,0.40187121149603766
0.25,250,none,1001,poststratified,0.8795570670672107,0.4397785335336054
0.25,250,none,1002,raw_frequencies,0.2890000000000001,0.14450000000000002
0.25,250,none,1002,rr_debiased,0.6116638930160377,0.3058319465080189
0.25,250,none,1002,poststratified,0.6135213279743165,0.30676066398715823
0.25,250,none,1003,raw_frequencies,0.2730000000000001,0.1365
0.25,250,none,1003,rr_debiased,0.38916545319451634,0.1945827265972582
0.25,250,none,1003,poststratified,0.3064217806110229,0.15321089030551144
0.25,250,none,1004,raw_frequencies,0.29700000000000004,0.14850000000000002
0.25,250,none,1004,rr_debiased,0.35333298662700485,0.17666649331350237
0.25,250,none,1004,poststratified,0.6129050719033344,0.30645253595166716
0.25,250,none,1005,raw_frequencies,0.24100000000000005,0.1205
0.25,250,none,1005,rr_debiased,0.3133309063890326,0.15666545319451625
0.25,250,none,1005,poststratified,0.2822485097883519,0.14112425489417585
0.25,250,none,1006,raw_frequencies,0.329,0.16449999999999998
0.25,250,none,1006,rr_debiased,0.7591633729565449,0.3795816864782725
0.25,250,none,1006,poststratified,0.8331847474147452,0.41659237370737257
0.25,250,none,1007,raw_frequencies,0.20900000000000007,0.10449999999999998
0.25,250,none,1007,rr_debiased,0.3749999999999999,0.1875
0.25,250,none,1007,poststratified,0.375,0.1875
0.25,250,none,1008,raw_frequencies,0.313,0.15649999999999997
0.25,250,none,1008,rr_debiased,0.5383319465080183,0.2691659732540091
0.25,250,none,1008,poststratified,0.44077716408384565,0.22038858204192285
0.25,250,none,1009,raw_frequencies,0.313,0.15649999999999997
0.25,250,none,1009,rr_debiased,0.5383319465080183,0.2691659732540091
0.25,250,none,1009,poststratified,0.4798588413292062,0.23992942066460318
0.25,250,none,1010,raw_frequencies,0.4010000000000001,0.2005
0.25,250,none,1010,rr_debiased,0.9827488373302087,0.49137441866510434
0.25,250,none,1010,poststratified,1.164665072300572,0.5823325361502859
0.25,250,none,1011,raw_frequencies,0.2810000000000001,0.1405
0.25,250,none,1011,rr_debiased,0.704163372956545,0.35208168647827254
0.25,250,none,1011,poststratified,0.6790876929291622,0.3395438464645811
0.25,250,none,1012,raw_frequencies,0.3050000000000001,0.15250000000000002
0.25,250,none,1012,rr_debiased,0.5741644130755306,0.2870822065377654
0.25,250,none,1012,poststratified,0.49592915945567856,0.24796457972783936
0.25,250,none,1013,raw_frequencies,0.20900000000000002,0.10449999999999998
0.25,250,none,1013,rr_debiased,0.523668266675916,0.261834133337958
0.25,250,none,1013,poststratified,0.5077416506480916,0.2538708253240458
0.25,250,none,1014,raw_frequencies,0.2810000000000001,0.1405
0.25,250,none,1014,rr_debiased,0.5191644130755305,0.2595822065377653
0.25,250,none,1014,poststratified,0.5791120507627268,0.28955602538136344
0.25,250,none,1015,raw_frequencies,0.20900000000000002,0.10449999999999998
0.25,250,none,1015,rr_debiased,0.9803531540783139,0.490176577039157
0.25,250,none,1015,poststratified,0.9694495839609616,0.48472479198048074
0.25,250,none,1016,raw_frequencies,0.20900000000000002,0.10449999999999998
0.25,250,none,1016,rr_debiased,0.523668266675916,0.261834133337958
0.25,250,none,1016,poststratified,0.5018305956389425,0.2509152978194712
0.25,250,none,1017,raw_frequencies,0.24900000000000005,0.1245
0.25,250,none,1017,rr_debiased,0.7758283060915684,0.3879141530457842
0.25,250,none,1017,poststratified,0.6395550801805323,0.31977754009026627
0.25,250,none,1018,raw_frequencies,0.32100000000000006,0.16049999999999998
0.25,250,none,1018,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,none,1018,poststratified,0.84,0.42000000000000004
0.25,250,none,1019,raw_frequencies,0.2730000000000001,0.1365
0.25,250,none,1019,rr_debiased,0.7849999999999999,0.3925
0.25,250,none,1019,poststratified,0.7850000000000001,0.3925
0.25,250,none,1020,raw_frequencies,0.2810000000000001,0.1405
0.25,250,none,1020,rr_debiased,0.29666597325400923,0.14833298662700456
0.25,250,none,1020,poststratified,0.39703123936931145,0.1985156196846557
0.25,250,none,1021,raw_frequencies,0.24100000000000005,0.1205
0.25,250,none,1021,rr_debiased,0.7208283060915683,0.36041415304578417
0.25,250,none,1021,poststratified,0.8243901058836354,0.4121950529418176
0.25,250,none,1022,raw_frequencies,0.20100000000000007,0.10049999999999998
0.25,250,none,1022,rr_debiased,0.37499999999999994,0.1875
0.25,250,none,1022,poststratified,0.37499999999999994,0.1875
0.25,250,none,1023,raw_frequencies,0.1690000000000001,0.08450000000000002
0.25,250,none,1023,rr_debiased,0.49615898728748026,0.24807949364374016
0.25,250,none,1023,poststratified,0.45930867217872506,0.22965433608936248
0.25,250,none,1024,raw_frequencies,0.26500000000000007,0.1325
0.25,250,none,1024,rr_debiased,0.22083142644852544,0.11041571322426263
0.25,250,none,1024,poststratified,0.2244265534898616,0.11221327674493081
0.25,250,none,1025,raw_frequencies,0.30500000000000005,0.15250000000000002
0.25,250,none,1025,rr_debiased,0.4816649331350236,0.2408324665675119
0.25,250,none,1025,poststratified,0.5147174248698774,0.2573587124349387
0.25,250,none,1026,raw_frequencies,0.32900000000000007,0.16449999999999998
0.25,250,none,1026,rr_debiased,0.7849999999999999,0.3925
0.25,250,none,1026,poststratified,0.785,0.3925
0.25,250,none,1027,raw_frequencies,0.38500000000000006,0.1925
0.25,250,none,1027,rr_debiased,1.3607056262766577,0.6803528131383288
0.25,250,none,1027,poststratified,1.470639330525226,0.735319665262613
0.25,250,none,1028,raw_frequencies,0.2810000000000001,0.1405
0.25,250,none,1028,rr_debiased,0.24166597325400918,0.12083298662700453
0.25,250,none,1028,poststratified,0.2675833919665641,0.13379169598328206
