method,bias,epsilon,n_respondents,n_repetitions,l1_mean,l1_std,max_abs_error_mean,max_abs_error_std
poststratified,moderate,0.25,250,30,0.6379093499340398,0.27297879191480723,0.31895467496701996,0.1364893959574036
poststratified,moderate,0.25,500,30,0.584089928103733,0.26312951002298063,0.2920449640518665,0.13156475501149031
poststratified,moderate,0.25,1000,30,0.3589418730027438,0.18537574492765496,0.1794709365013719,0.09268787246382747
poststratified,moderate,0.25,2000,30,0.3194200130053648,0.17729264997462987,0.1597100065026824,0.08864632498731492
poststratified,moderate,0.5,250,30,0.42508494481918124,0.17007050491506576,0.21254247240959062,0.08503525245753288
poststratified,moderate,0.5,500,30,0.2896656478174821,0.12621746758402635,0.1448328239087411,0.06310873379201319
poststratified,moderate,0.5,1000,30,0.21728417606056985,0.12176695173075071,0.10864208803028493,0.06088347586537535
poststratified,moderate,0.5,2000,30,0.1566143940916801,0.08220948002335166,0.07830719704584006,0.04110474001167582
poststratified,moderate,1.0,250,30,0.21133665278143407,0.13110941171807286,0.10566832639071704,0.06555470585903644
poststratified,moderate,1.0,500,30,0.1499038933789089,0.07668712810314661,0.07495194668945444,0.03834356405157331
poststratified,moderate,1.0,1000,30,0.11767865211972262,0.061566131130426756,0.058839326059861315,0.030783065565213385
poststratified,moderate,1.0,2000,30,0.0792909437990501,0.04019813789010302,0.03964547189952505,0.02009906894505152
poststratified,moderate,2.0,250,30,0.11759820641327125,0.057224453353293965,0.05879910320663562,0.02861222667664699
poststratified,moderate,2.0,500,30,0.08252147813968061,0.04259828354799781,0.0412607390698403,0.021299141773998907
poststratified,moderate,2.0,1000,30,0.06332896597321841,0.025530423232151184,0.0316644829866092,0.012765211616075602
poststratified,moderate,2.0,2000,30,0.03951348027271807,0.014845537291225328,0.019756740136359016,0.007422768645612649
poststratified,none,0.25,250,30,0.6472358265069308,0.2971919951139249,0.3236179132534654,0.14859599755696246
poststratified,none,0.25,500,30,0.49088204505859945,0.27138811910575583,0.24544102252929972,0.13569405955287792
poststratified,none,0.25,1000,30,0.37980680831579205,0.19628084523421302,0.18990340415789603,0.09814042261710651
poststratified,none,0.25,2000,30,0.24242713910365823,0.13432805804024822,0.12121356955182912,0.06716402902012411
poststratified,none,0.5,250,30,0.3117025387614903,0.14350403047651822,0.15585126938074514,0.07175201523825911
poststratified,none,0.5,500,30,0.2710414339345148,0.1134244432381954,0.1355207169672574,0.05671222161909769
poststratified,none,0.5,1000,30,0.1716841637295021,0.10071108181636974,0.08584208186475104,0.05035554090818487
poststratified,none,0.5,2000,30,0.14838820177970632,0.08458172708427537,0.07419410088985316,0.042290863542137694
poststratified,none,1.0,250,30,0.22417653653395825,0.10216224248805753,0.11208826826697911,0.051081121244028756
poststratified,none,1.0,500,30,0.11979578076218035,0.06297254979546914,0.05989789038109018,0.03148627489773457
poststratified,none,1.0,1000,30,0.07965817562006086,0.05165979266766364,0.039829087810030445,0.02582989633383182
